open	high	low	close	volume	companyName	datetime	SMA20	SMA40	SMA100	SMA200	trendlower	trendhigher	tip_vela	cncf01	tip_caida	id_cncf01	ind_posicion	id_cncf	ind_high	iniTrendLow	x	sl_highs	interc_highs	trend
178.235	178.86	177.97	178.8384	6937479	AAPL	2023-08-07 14:00:00	185.072925	189.75302	192.516162	191.89027550000003				0		20.0	-1	3			96	-2.320900000000009	414.7273000000009	191.92090000000007
178.84	179.04	178.31	178.475	6090062	AAPL	2023-08-07 15:00:00	184.41067500000003	189.30746000000002	192.35641199999998	191.8176005				0		20.0	-1	3			97	-2.320900000000009	414.7273000000009	189.60000000000008
178.48	179.22	178.22	178.809	13409320	AAPL	2023-08-07 16:00:00	183.76412499999998	188.865685	192.195202	191.7426455				0		20.0	-1	3			98	-2.320900000000009	414.7273000000009	187.27910000000006
179.17	179.47	178.15	179.02	3381272	AAPL	2023-08-08 09:00:00	183.104375	188.44368500000002	192.040602	191.6700955		179.02	hammer	0		20.0	-1	3			99	-2.320900000000009	414.7273000000009	184.95820000000003
179.02	182.99	177.58	178.05	10947193	AAPL	2023-08-08 10:00:00	182.438365	187.98356	191.87800299999998	191.5956455			inverted_hammer	0		20.0	-1	3	182.99	True	100	-2.320900000000009	414.7273000000009	182.63730000000004
178.045	179.611	177.76	178.13	11452109	AAPL	2023-08-08 11:00:00	181.752865	187.54181	191.72660299999998	191.5264005			inverted_hammer	0		20.0	-1	3	179.611	False	101	-2.320900000000009	414.7273000000009	180.31640000000004
178.13	178.3482	177.825	177.865	7731541	AAPL	2023-08-08 12:00:00	181.09562	187.09056	191.57385299999999	191.4545755	177.865			1	CF	20.0	0	3	178.3482	False	102	-2.320900000000009	414.7273000000009	177.99550000000002
177.8678	178.99	177.84	178.91	5137082	AAPL	2023-08-08 13:00:00	180.74061999999998	186.66880999999998	191.42505300000002	191.3867755				0		20.0	1	3			103	-2.320900000000009	414.7273000000009	175.6746
178.919	179.48	178.7	179.045	5968924	AAPL	2023-08-08 14:00:00	180.42811999999998	186.24318499999998	191.27760300000003	191.3202005				0		20.0	1	3			104	-2.320900000000009	414.7273000000009	173.3537
179.05	179.55	178.91	179.485	4443453	AAPL	2023-08-08 15:00:00	180.13437000000002	185.83330999999998	191.140953	191.2558255				0		20.0	1	3			105	-2.320900000000009	414.7273000000009	171.0328
179.49	180.27	179.34	179.8	12271211	AAPL	2023-08-08 16:00:00	179.84437	185.43831	191.007903	191.1930255				0		20.0	1	3			106	-2.320900000000009	414.7273000000009	168.71189999999999
181.02	181.49	179.8	180.79	329037	AAPL	2023-08-09 09:00:00	179.62287	185.09131	190.89407300000002	191.13965050000002		180.79		0		20.0	1	3			107			
180.78	181.0	178.14	178.66	8011844	AAPL	2023-08-09 10:00:00	179.31037	184.70781	190.74957300000003	191.0717755				0		20.0	1	3			108			
178.66	179.6578	177.6	177.815	9124377	AAPL	2023-08-09 11:00:00	179.08362	184.3331825	190.601823	190.999051				0		20.0	1	3			109			
177.82	178.2	177.01	177.42	7272629	AAPL	2023-08-09 12:00:00	178.85512	183.9541825	190.45672299999998	190.931501	177.42			0	CF	20.0	1	3			110			
